Heat: 750.0000 | Time: 2.8330 | MPISize: 1
         3002677 function calls (2769372 primitive calls) in 7.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    904/1    0.008    0.000    7.154    7.154 {built-in method builtins.exec}
        1    0.030    0.030    7.154    7.154 numbampi.py:1(<module>)
        6    0.000    0.000    3.484    0.581 __init__.py:3(<module>)
      250    2.751    0.011    2.751    0.011 numbampi.py:10(kernel)
   614/33    0.004    0.000    2.716    0.082 <frozen importlib._bootstrap>:978(_find_and_load)
   614/33    0.003    0.000    2.715    0.082 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   591/33    0.004    0.000    2.708    0.082 <frozen importlib._bootstrap>:663(_load_unlocked)
   879/33    0.001    0.000    2.706    0.082 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   515/31    0.002    0.000    2.522    0.081 <frozen importlib._bootstrap_external>:722(exec_module)
   506/65    0.002    0.000    2.233    0.034 {built-in method builtins.__import__}
8504/5728    0.009    0.000    2.227    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    44/39    0.000    0.000    2.191    0.056 decorators.py:188(wrapper)
     50/2    0.000    0.000    2.183    1.091 compiler_lock.py:29(_acquire_compile_lock)
        1    0.000    0.000    1.789    1.789 dispatcher.py:795(compile)
        1    0.000    0.000    1.789    1.789 dispatcher.py:77(compile)
        1    0.000    0.000    1.789    1.789 dispatcher.py:84(_compile_cached)
        1    0.000    0.000    1.788    1.788 dispatcher.py:99(_compile_core)
        1    0.000    0.000    1.788    1.788 compiler.py:601(compile_extra)
        1    0.000    0.000    1.545    1.545 compiler.py:350(compile_extra)
        1    0.000    0.000    1.544    1.544 compiler.py:420(_compile_bytecode)
      2/1    0.000    0.000    1.544    1.544 compiler.py:380(_compile_core)
      2/1    0.000    0.000    1.544    1.544 compiler_machinery.py:318(run)
    46/24    0.001    0.000    1.543    0.064 compiler_machinery.py:259(_runPass)
   138/72    0.000    0.000    1.542    0.021 compiler_machinery.py:263(check)
        1    0.000    0.000    1.309    1.309 config.py:1(<module>)
        1    0.000    0.000    1.245    1.245 dylib.py:1(<module>)
        1    0.000    0.000    1.242    1.242 ffi.py:1(<module>)
      2/1    0.000    0.000    1.056    1.056 typed_passes.py:430(run_pass)
      2/1    0.000    0.000    1.055    1.055 typed_passes.py:347(run_pass)
      2/1    0.000    0.000    0.920    0.920 lowering.py:131(lower)
        2    0.000    0.000    0.834    0.417 __init__.py:340(__init__)
        2    0.834    0.417    0.834    0.417 {built-in method _ctypes.dlopen}
      2/1    0.000    0.000    0.787    0.787 lowering.py:182(lower_normal_function)
      2/1    0.000    0.000    0.785    0.785 lowering.py:196(lower_function_body)
      8/1    0.002    0.000    0.785    0.785 lowering.py:220(lower_block)
  324/196    0.002    0.000    0.781    0.004 lowering.py:321(lower_inst)
     2473    0.689    0.000    0.689    0.000 ffi.py:111(__call__)
